key;values001;values002
Consumer Staples;31/01/2010;6.318866954
Consumer Staples;28/02/2010;6.587395826
Consumer Staples;30/03/2010;6.228118984
Consumer Staples;29/04/2010;5.894891575
Consumer Staples;30/05/2010;5.596732048
Consumer Staples;29/06/2010;0.997844321
Consumer Staples;30/07/2010;1.095079418
Consumer Staples;30/08/2010;0.944797344
Consumer Staples;29/09/2010;1.222093989
Consumer Staples;30/10/2010;1.335093107
Consumer Staples;30/11/2010;1.33025651
Consumer Staples;31/12/2010;1.340824671
Consumer Staples;31/01/2011;0
Consumer Staples;28/02/2011;0
Consumer Staples;30/03/2011;0
Consumer Staples;29/04/2011;0
Consumer Staples;30/05/2011;0
Consumer Staples;29/06/2011;0
Consumer Staples;30/07/2011;0
Consumer Staples;30/08/2011;0
Consumer Staples;29/09/2011;4.458369232
Consumer Staples;30/10/2011;3.649304335
Consumer Staples;30/11/2011;3.861006409
Consumer Staples;31/12/2011;5.514480069
Consumer Staples;31/01/2012;5.175069522
Consumer Staples;29/02/2012;5.671006695
Consumer Staples;30/03/2012;8.565846159
Consumer Staples;29/04/2012;8.613544771
Consumer Staples;30/05/2012;8.023146093
Energy;31/01/2006;1.544303464
Energy;28/02/2006;1.438728943
Energy;31/03/2006;0
Energy;29/04/2006;0
Energy;30/05/2006;0
Energy;29/06/2006;1.328626801
Energy;30/07/2006;1.28740508
Energy;30/08/2006;1.087274311
Energy;29/09/2006;0.960425626
Energy;31/10/2006;0.931393729
Energy;30/11/2006;0.944321673
Energy;31/12/2006;1.277750166
Energy;31/01/2007;1.220489389
Energy;28/02/2007;1.207489123
Energy;30/03/2007;1.249065141
Energy;29/04/2007;1.259312991
Energy;30/05/2007;1.373329808
Energy;29/06/2007;0
Energy;30/07/2007;0
Energy;30/08/2007;0
Energy;29/09/2007;0
Energy;30/10/2007;0
Energy;30/11/2007;0
Energy;31/12/2007;0
Energy;31/01/2008;0
Energy;29/02/2008;0
Energy;30/03/2008;0
Energy;29/04/2008;0
Energy;30/05/2008;0
Energy;29/06/2008;0
Energy;30/07/2008;0
Energy;30/08/2008;0
Energy;29/09/2008;1.451610893
Energy;30/10/2008;1.185602527
Energy;30/11/2008;1.343047036
Energy;31/12/2008;2.275259535
Energy;31/01/2009;2.403156001
Energy;28/02/2009;2.082243073
Energy;30/03/2009;1.564090283
Energy;29/04/2009;1.581287397
Energy;30/05/2009;1.946244855
Energy;29/06/2009;2.946487022
Energy;30/07/2009;3.074469938
Energy;30/08/2009;2.942230463
Energy;29/09/2009;2.75030756
Energy;30/10/2009;2.65067018
Energy;30/11/2009;2.800542532
Energy;31/12/2009;2.681618497
Energy;31/01/2010;2.681206271
Energy;28/02/2010;2.819548801
Energy;30/03/2010;0
Energy;29/04/2010;0
Energy;30/05/2010;0
Energy;29/06/2010;1.068705735
Energy;30/07/2010;1.253940054
Energy;30/08/2010;1.186296945
Energy;29/09/2010;0
Energy;30/10/2010;0
Energy;30/11/2010;0
Energy;31/12/2010;0
Energy;31/01/2011;1.941972859
Energy;28/02/2011;2.11422477
Energy;30/03/2011;2.378859021
Energy;29/04/2011;2.533730288
Energy;30/05/2011;2.31633704
Energy;29/06/2011;2.064545184
Energy;30/07/2011;2.100444667
Energy;30/08/2011;3.63018758
Energy;29/09/2011;2.454204665
Energy;30/10/2011;2.196082371
Energy;30/11/2011;2.335841826
Energy;31/12/2011;0
Energy;31/01/2012;0
Energy;29/02/2012;0
Energy;30/03/2012;0.39001201
Energy;29/04/2012;0.309454727
Energy;30/05/2012;0.310624393
Financials;31/01/2006;13.35677876
Financials;28/02/2006;13.61119686
Financials;31/03/2006;6.895903006
Financials;29/04/2006;6.993963327
Financials;30/05/2006;6.724151026
Financials;29/06/2006;5.561129367
Financials;30/07/2006;5.608648871
Financials;30/08/2006;5.496284991
Financials;29/09/2006;6.919315317
Financials;31/10/2006;7.001633439
Financials;30/11/2006;6.786542244
Financials;31/12/2006;9.000645423
Financials;31/01/2007;9.223391617
Financials;28/02/2007;8.892931601
Financials;30/03/2007;10.34593752
Financials;29/04/2007;10.07591468
Financials;30/05/2007;10.08900619
Financials;29/06/2007;10.5983303
Financials;30/07/2007;9.968954653
Financials;30/08/2007;9.77405802
Financials;29/09/2007;10.55848306
Financials;30/10/2007;9.931465182
Financials;30/11/2007;9.399771587
Financials;31/12/2007;8.408649339
Financials;31/01/2008;8.969830909
Financials;29/02/2008;8.2778358
Financials;30/03/2008;8.85850456
Financials;29/04/2008;8.701375641
Financials;30/05/2008;7.793360547
Financials;29/06/2008;7.023618348
Financials;30/07/2008;6.987308819
Financials;30/08/2008;6.803171307
Financials;29/09/2008;6.686953132
Financials;30/10/2008;6.138256994
Financials;30/11/2008;5.643499402
Financials;31/12/2008;5.495220263
Financials;31/01/2009;4.688532687
Financials;28/02/2009;4.452434988
Financials;30/03/2009;5.676652078
Financials;29/04/2009;5.767577448
Financials;30/05/2009;5.788286317
Financials;29/06/2009;7.266601003
Financials;30/07/2009;7.519182132
Financials;30/08/2009;7.849651451
Financials;29/09/2009;10.38399204
Financials;30/10/2009;9.065369186
Financials;30/11/2009;9.670524832
Financials;31/12/2009;10.85638056
Financials;31/01/2010;11.27452371
Financials;28/02/2010;11.75415653
Financials;30/03/2010;8.287081142
Financials;29/04/2010;8.021026436
Financials;30/05/2010;7.537507447
Financials;29/06/2010;8.341952734
Financials;30/07/2010;9.419747182
Financials;30/08/2010;8.732173319
Financials;29/09/2010;9.662706265
Financials;30/10/2010;10.18796223
Financials;30/11/2010;9.814420173
Financials;31/12/2010;10.27572336
Financials;31/01/2011;16.79606608
Financials;28/02/2011;17.54325498
Financials;30/03/2011;16.67366068
Financials;29/04/2011;17.96394435
Financials;30/05/2011;16.63774087
Financials;29/06/2011;15.84857095
Financials;30/07/2011;14.76730336
Financials;30/08/2011;24.77845218
Financials;29/09/2011;18.37035323
Financials;30/10/2011;15.25313743
Financials;30/11/2011;14.98960084
Financials;31/12/2011;16.05253916
Financials;31/01/2012;16.42439032
Financials;29/02/2012;17.88402074
Financials;30/03/2012;7.142492958
Financials;29/04/2012;7.807621305
Financials;30/05/2012;7.246268495
Health Care;31/01/2006;14.21241096
Health Care;28/02/2006;13.97319362
Health Care;31/03/2006;15.21823392
Health Care;29/04/2006;14.38210973
Health Care;30/05/2006;13.89431088
Health Care;29/06/2006;15.59308609
Health Care;30/07/2006;16.2448397
Health Care;30/08/2006;16.01708885
Health Care;29/09/2006;14.18395183
Health Care;31/10/2006;14.14852325
Health Care;30/11/2006;13.42432606
Health Care;31/12/2006;12.97445044
Health Care;31/01/2007;13.23247042
Health Care;28/02/2007;13.31876266
Health Care;30/03/2007;15.96140775
Health Care;29/04/2007;16.28771464
Health Care;30/05/2007;16.24659058
Health Care;29/06/2007;17.56450559
Health Care;30/07/2007;17.87272537
Health Care;30/08/2007;18.01899851
Health Care;29/09/2007;15.58451802
Health Care;30/10/2007;15.48085065
Health Care;30/11/2007;15.69912004
Health Care;31/12/2007;19.18428182
Health Care;31/01/2008;19.69122661
Health Care;29/02/2008;18.98231405
Health Care;30/03/2008;18.70782031
Health Care;29/04/2008;17.45963093
Health Care;30/05/2008;16.50061608
Health Care;29/06/2008;18.086324
Health Care;30/07/2008;18.92946416
Health Care;30/08/2008;18.23372868
Health Care;29/09/2008;16.3157763
Health Care;30/10/2008;14.63289219
Health Care;30/11/2008;14.66783502
Health Care;31/12/2008;13.94699395
Health Care;31/01/2009;14.39430468
Health Care;28/02/2009;13.72446279
Health Care;30/03/2009;10.93087904
Health Care;29/04/2009;9.833991551
Health Care;30/05/2009;10.05385854
Health Care;29/06/2009;11.78699844
Health Care;30/07/2009;11.7809949
Health Care;30/08/2009;11.30588967
Health Care;29/09/2009;10.91845229
Health Care;30/10/2009;9.681139506
Health Care;30/11/2009;10.97152974
Health Care;31/12/2009;13.33021048
Health Care;31/01/2010;14.59263757
Health Care;28/02/2010;14.60532914
Health Care;30/03/2010;13.93685379
Health Care;29/04/2010;12.18948076
Health Care;30/05/2010;11.67615139
Health Care;29/06/2010;13.0588528
Health Care;30/07/2010;13.62891543
Health Care;30/08/2010;13.81110757
Health Care;29/09/2010;13.78649456
Health Care;30/10/2010;14.04516286
Health Care;30/11/2010;13.69741245
Health Care;31/12/2010;13.67768138
Health Care;31/01/2011;19.96151186
Health Care;28/02/2011;21.0491983
Health Care;30/03/2011;22.68763109
Health Care;29/04/2011;25.46901062
Health Care;30/05/2011;24.88379944
Health Care;29/06/2011;24.20384381
Health Care;30/07/2011;22.13876096
Health Care;30/08/2011;16.03463697
Health Care;29/09/2011;15.39495894
Health Care;30/10/2011;12.62564246
Health Care;30/11/2011;12.9737357
Health Care;31/12/2011;15.78601834
Health Care;31/01/2012;15.22736802
Health Care;29/02/2012;15.89975265
Health Care;30/03/2012;18.9947313
Health Care;29/04/2012;18.45005582
Health Care;30/05/2012;17.86371989
Industrials;31/01/2006;7.159008709
Industrials;28/02/2006;7.129721097
Industrials;31/03/2006;5.577458829
Industrials;29/04/2006;5.497725449
Industrials;30/05/2006;5.513815311
Industrials;29/06/2006;4.319808403
Industrials;30/07/2006;3.917929584
Industrials;30/08/2006;3.811009305
Industrials;29/09/2006;5.562902092
Industrials;31/10/2006;5.724167371
Industrials;30/11/2006;5.47150497
Industrials;31/12/2006;4.919376357
Industrials;31/01/2007;5.136053947
Industrials;28/02/2007;5.132725876
Industrials;30/03/2007;5.188894393
Industrials;29/04/2007;5.519148129
Industrials;30/05/2007;5.609362561
Industrials;29/06/2007;4.270631299
Industrials;30/07/2007;4.445323513
Industrials;30/08/2007;4.622800311
Industrials;29/09/2007;5.064576476
Industrials;30/10/2007;5.072344723
Industrials;30/11/2007;5.145776582
Industrials;31/12/2007;5.40678516
Industrials;31/01/2008;5.472241917
Industrials;29/02/2008;5.374274039
Industrials;30/03/2008;6.251751934
Industrials;29/04/2008;6.140685215
Industrials;30/05/2008;5.816438563
Industrials;29/06/2008;5.425584666
Industrials;30/07/2008;5.373849942
Industrials;30/08/2008;5.181562775
Industrials;29/09/2008;5.030598324
Industrials;30/10/2008;4.682305861
Industrials;30/11/2008;4.594148159
Industrials;31/12/2008;5.466959847
Industrials;31/01/2009;5.124903736
Industrials;28/02/2009;4.350442125
Industrials;30/03/2009;4.626088103
Industrials;29/04/2009;5.014040246
Industrials;30/05/2009;4.745846245
Industrials;29/06/2009;6.043701965
Industrials;30/07/2009;6.459521625
Industrials;30/08/2009;6.642046825
Industrials;29/09/2009;5.892727196
Industrials;30/10/2009;5.471210884
Industrials;30/11/2009;6.122025421
Industrials;31/12/2009;5.538593517
Industrials;31/01/2010;5.738337761
Industrials;28/02/2010;6.171597673
Industrials;30/03/2010;4.010226268
Industrials;29/04/2010;3.76938968
Industrials;30/05/2010;3.530157103
Industrials;29/06/2010;2.766025265
Industrials;30/07/2010;3.140998339
Industrials;30/08/2010;3.052802486
Industrials;29/09/2010;4.312612316
Industrials;30/10/2010;4.594654042
Industrials;30/11/2010;4.542412613
Industrials;31/12/2010;4.779004399
Industrials;31/01/2011;7.496915406
Industrials;28/02/2011;7.942475156
Industrials;30/03/2011;7.156073625
Industrials;29/04/2011;7.947811734
Industrials;30/05/2011;7.410921485
Industrials;29/06/2011;7.596645764
Industrials;30/07/2011;7.165754444
Industrials;30/08/2011;5.481670252
Industrials;29/09/2011;4.989365609
Industrials;30/10/2011;4.498385105
Industrials;30/11/2011;4.677609036
Industrials;31/12/2011;8.135081437
Industrials;31/01/2012;8.073276999
Industrials;29/02/2012;8.560234039
Industrials;30/03/2012;5.129371407
Industrials;29/04/2012;5.258679462
Industrials;30/05/2012;5.110085357
Information Technology;31/01/2006;13.24230151
Information Technology;28/02/2006;12.86353634
Information Technology;31/03/2006;21.03404417
Information Technology;29/04/2006;21.41908462
Information Technology;30/05/2006;21.14267886
Information Technology;29/06/2006;26.56848968
Information Technology;30/07/2006;24.83914494
Information Technology;30/08/2006;25.45618746
Information Technology;29/09/2006;26.3501645
Information Technology;31/10/2006;26.47833321
Information Technology;30/11/2006;26.42597955
Information Technology;31/12/2006;28.19146158
Information Technology;31/01/2007;28.93030745
Information Technology;28/02/2007;29.52141389
Information Technology;30/03/2007;28.18828597
Information Technology;29/04/2007;27.70461963
Information Technology;30/05/2007;27.49086242
Information Technology;29/06/2007;28.77067972
Information Technology;30/07/2007;29.06048067
Information Technology;30/08/2007;28.24099884
Information Technology;29/09/2007;33.00489319
Information Technology;30/10/2007;34.07518036
Information Technology;30/11/2007;32.54856066
Information Technology;31/12/2007;30.62972743
Information Technology;31/01/2008;28.64285879
Information Technology;29/02/2008;27.97357523
