key	values001	values002
Financials	1225425600000	6.138256994
Financials	1228021200000	5.643499402
Financials	1230699600000	5.495220263
Financials	1233378000000	4.688532687
Financials	1235797200000	4.452434988
Financials	1238472000000	5.676652078
Financials	1241064000000	5.767577448
Financials	1243742400000	5.788286317
Financials	1246334400000	7.266601003
Financials	1249012800000	7.519182132
Financials	1251691200000	7.849651451
Financials	1254283200000	10.38399204
Financials	1256961600000	9.065369186
Financials	1259557200000	9.670524832
Financials	1262235600000	10.85638056
Financials	1264914000000	11.27452371
Financials	1267333200000	11.75415653
Financials	1270008000000	8.287081142
Financials	1272600000000	8.021026436
Financials	1275278400000	7.537507447
Financials	1277870400000	8.341952734
Financials	1280548800000	9.419747182
Financials	1283227200000	8.732173319
Financials	1285819200000	9.662706265
Financials	1288497600000	10.18796223
Financials	1291093200000	9.814420173
Financials	1293771600000	10.27572336
Financials	1296450000000	16.79606608
Financials	1298869200000	17.54325498
Financials	1301544000000	16.67366068
Financials	1304136000000	17.96394435
Financials	1306814400000	16.63774087
Financials	1309406400000	15.84857095
Financials	1312084800000	14.76730336
Financials	1314763200000	24.77845218
Financials	1317355200000	18.37035323
Financials	1320033600000	15.25313743
Financials	1322629200000	14.98960084
Financials	1325307600000	16.05253916
Financials	1327986000000	16.42439032
Financials	1330491600000	17.88402074
Financials	1333166400000	7.142492958
Financials	1335758400000	7.807621305
Financials	1338436800000	7.246268495
Health Care	1138683600000	14.21241096
Health Care	1141102800000	13.97319362
Health Care	1143781200000	15.21823392
Health Care	1146369600000	14.38210973
Health Care	1149048000000	13.89431088
Health Care	1151640000000	15.59308609
Health Care	1154318400000	16.2448397
Health Care	1156996800000	16.01708885
Health Care	1159588800000	14.18395183
Health Care	1162270800000	14.14852325
Health Care	1164862800000	13.42432606
Health Care	1167541200000	12.97445044
Health Care	1170219600000	13.23247042
Health Care	1172638800000	13.31876266
Health Care	1175313600000	15.96140775
Health Care	1177905600000	16.28771464
Health Care	1180584000000	16.24659058
Health Care	1183176000000	17.56450559
Health Care	1185854400000	17.87272537
Health Care	1188532800000	18.01899851
Health Care	1191124800000	15.58451802
Health Care	1193803200000	15.48085065
Health Care	1196398800000	15.69912004
Health Care	1199077200000	19.18428182
Health Care	1201755600000	19.69122661
Health Care	1204261200000	18.98231405
Health Care	1206936000000	18.70782031
Health Care	1209528000000	17.45963093
Health Care	1212206400000	16.50061608
Health Care	1214798400000	18.086324
Health Care	1217476800000	18.92946416
Health Care	1220155200000	18.23372868
Health Care	1222747200000	16.3157763
Health Care	1225425600000	14.63289219
Health Care	1228021200000	14.66783502
Health Care	1230699600000	13.94699395
Health Care	1233378000000	14.39430468
Health Care	1235797200000	13.72446279
Health Care	1238472000000	10.93087904
Health Care	1241064000000	9.833991551
Health Care	1243742400000	10.05385854
Health Care	1246334400000	11.78699844
Health Care	1249012800000	11.7809949
Health Care	1251691200000	11.30588967
Health Care	1254283200000	10.91845229
Health Care	1256961600000	9.681139506
Health Care	1259557200000	10.97152974
Health Care	1262235600000	13.33021048
Health Care	1264914000000	14.59263757
Health Care	1267333200000	14.60532914
Health Care	1270008000000	13.93685379
Health Care	1272600000000	12.18948076
Health Care	1275278400000	11.67615139
Health Care	1277870400000	13.0588528
Health Care	1280548800000	13.62891543
Health Care	1283227200000	13.81110757
Health Care	1285819200000	13.78649456
Health Care	1288497600000	14.04516286
Health Care	1291093200000	13.69741245
Health Care	1293771600000	13.67768138
Health Care	1296450000000	19.96151186
Health Care	1298869200000	21.0491983
Health Care	1301544000000	22.68763109
Health Care	1304136000000	25.46901062
Health Care	1306814400000	24.88379944
Health Care	1309406400000	24.20384381
Health Care	1312084800000	22.13876096
Health Care	1314763200000	16.03463697
Health Care	1317355200000	15.39495894
Health Care	1320033600000	12.62564246
Health Care	1322629200000	12.9737357
Health Care	1325307600000	15.78601834
Health Care	1327986000000	15.22736802
Health Care	1330491600000	15.89975265
Health Care	1333166400000	18.9947313
Health Care	1335758400000	18.45005582
Health Care	1338436800000	17.86371989
Industrials	1138683600000	7.159008709
Industrials	1141102800000	7.129721097
Industrials	1143781200000	5.577458829
Industrials	1146369600000	5.497725449
Industrials	1149048000000	5.513815311
Industrials	1151640000000	4.319808403
Industrials	1154318400000	3.917929584
Industrials	1156996800000	3.811009305
Industrials	1159588800000	5.562902092
Industrials	1162270800000	5.724167371
Industrials	1164862800000	5.47150497
Industrials	1167541200000	4.919376357
Industrials	1170219600000	5.136053947
Industrials	1172638800000	5.132725876
Industrials	1175313600000	5.188894393
Industrials	1177905600000	5.519148129
Industrials	1180584000000	5.609362561
Industrials	1183176000000	4.270631299
Industrials	1185854400000	4.445323513
Industrials	1188532800000	4.622800311
Industrials	1191124800000	5.064576476
Industrials	1193803200000	5.072344723
Industrials	1196398800000	5.145776582
Industrials	1199077200000	5.40678516
Industrials	1201755600000	5.472241917
Industrials	1204261200000	5.374274039
Industrials	1206936000000	6.251751934
Industrials	1209528000000	6.140685215
Industrials	1212206400000	5.816438563
Industrials	1214798400000	5.425584666
Industrials	1217476800000	5.373849942
Industrials	1220155200000	5.181562775
Industrials	1222747200000	5.030598324
Industrials	1225425600000	4.682305861
Industrials	1228021200000	4.594148159
Industrials	1230699600000	5.466959847
Industrials	1233378000000	5.124903736
Industrials	1235797200000	4.350442125
Industrials	1238472000000	4.626088103
Industrials	1241064000000	5.014040246
Industrials	1243742400000	4.745846245
Industrials	1246334400000	6.043701965
Industrials	1249012800000	6.459521625
Industrials	1251691200000	6.642046825
Industrials	1254283200000	5.892727196
Industrials	1256961600000	5.471210884
Industrials	1259557200000	6.122025421
Industrials	1262235600000	5.538593517
Industrials	1264914000000	5.738337761
Industrials	1267333200000	6.171597673
Industrials	1270008000000	4.010226268
Industrials	1272600000000	3.76938968
Industrials	1275278400000	3.530157103
Industrials	1277870400000	2.766025265
Industrials	1280548800000	3.140998339
Industrials	1283227200000	3.052802486
Industrials	1285819200000	4.312612316
Industrials	1288497600000	4.594654042
Industrials	1291093200000	4.542412613
Industrials	1293771600000	4.779004399
Industrials	1296450000000	7.496915406
Industrials	1298869200000	7.942475156
Industrials	1301544000000	7.156073625
Industrials	1304136000000	7.947811734
Industrials	1306814400000	7.410921485
Industrials	1309406400000	7.596645764
Industrials	1312084800000	7.165754444
Industrials	1314763200000	5.481670252
Industrials	1317355200000	4.989365609
Industrials	1320033600000	4.498385105
Industrials	1322629200000	4.677609036
Industrials	1325307600000	8.135081437
Industrials	1327986000000	8.073276999
Industrials	1330491600000	8.560234039
Industrials	1333166400000	5.129371407
Industrials	1335758400000	5.258679462
Industrials	1338436800000	5.110085357
Information Technology	1138683600000	13.24230151
Information Technology	1141102800000	12.86353634
Information Technology	1143781200000	21.03404417
Information Technology	1146369600000	21.41908462
Information Technology	1149048000000	21.14267886
Information Technology	1151640000000	26.56848968
Information Technology	1154318400000	24.83914494
Information Technology	1156996800000	25.45618746
Information Technology	1159588800000	26.3501645
Information Technology	1162270800000	26.47833321
Information Technology	1164862800000	26.42597955
Information Technology	1167541200000	28.19146158
Information Technology	1170219600000	28.93030745
Information Technology	1172638800000	29.52141389
Information Technology	1175313600000	28.18828597
Information Technology	1177905600000	27.70461963
Information Technology	1180584000000	27.49086242
Information Technology	1183176000000	28.77067972
Information Technology	1185854400000	29.06048067
Information Technology	1188532800000	28.24099884
Information Technology	1191124800000	33.00489319
Information Technology	1193803200000	34.07518036
Information Technology	1196398800000	32.54856066
Information Technology	1199077200000	30.62972743
Information Technology	1201755600000	28.64285879
Information Technology	1204261200000	27.97357523
Information Technology	1206936000000	27.39335188
Information Technology	1209528000000	28.47609529
Information Technology	1212206400000	29.29667866
Information Technology	1214798400000	29.2223338
Information Technology	1217476800000	28.09296609
Information Technology	1220155200000	28.10715926
Information Technology	1222747200000	25.48297483
Information Technology	1225425600000	21.20811599
Information Technology	1228021200000	20.2950431
Information Technology	1230699600000	15.92575462
Information Technology	1233378000000	17.16286463
Information Technology	1235797200000	17.08434577
Information Technology	1238472000000	22.2460071
Information Technology	1241064000000	24.530544
Information Technology	1243742400000	25.08418492
Information Technology	1246334400000	16.60616653
Information Technology	1249012800000	17.23962001
Information Technology	1251691200000	17.33673913
Information Technology	1254283200000	25.47849248
Information Technology	1256961600000	23.01715209
Information Technology	1259557200000	25.61774542
Information Technology	1262235600000	24.061134
Information Technology	1264914000000	23.22393332
Information Technology	1267333200000	24.42588726
Information Technology	1270008000000	35.50147116
Information Technology	1272600000000	33.77501388
Information Technology	1275278400000	30.41799363
Information Technology	1277870400000	30.02359898
Information Technology	1280548800000	33.32751952
Information Technology	1283227200000	31.96338845
Information Technology	1285819200000	30.49896723
Information Technology	1288497600000	32.40369682
Information Technology	1291093200000	31.47736072
Information Technology	1293771600000	31.53259666
Information Technology	1296450000000	41.76028276
Information Technology	1298869200000	45.60577124
Information Technology	1301544000000	39.98655797
Information Technology	1304136000000	43.84633051
Information Technology	1306814400000	39.85731688
Information Technology	1309406400000	37.67512777
Information Technology	1312084800000	35.77507797
Information Technology	1314763200000	48.6310097
Information Technology	1317355200000	42.83083175
Information Technology	1320033600000	35.61150259
Information Technology	1322629200000	35.32013698
Information Technology	1325307600000	31.5641369
Information Technology	1327986000000	32.0744075
Information Technology	1330491600000	35.05301377
Information Technology	1333166400000	26.43456857
Information Technology	1335758400000	25.30561787
Information Technology	1338436800000	24.52091942
Materials	1138683600000	5.580616742
Materials	1141102800000	5.453904707
Materials	1143781200000	7.672884243
Materials	1146369600000	7.719946717
Materials	1149048000000	8.014461991
Materials	1151640000000	7.942223133
Materials	1154318400000	8.399827983
Materials	1156996800000	8.532324573
Materials	1159588800000	4.73242852
Materials	1162270800000	4.740239749
Materials	1164862800000	4.904206936
Materials	1167541200000	5.958396343
Materials	1170219600000	6.369389924
Materials	1172638800000	6.261153904
Materials	1175313600000	5.344394218
Materials	1177905600000	5.493211124
Materials	1180584000000	5.57473931
Materials	1183176000000	5.383363306
Materials	1185854400000	5.512589883
Materials	1188532800000	5.811611266
Materials	1191124800000	4.396229694
Materials	1193803200000	4.696766361
Materials	1196398800000	4.796300435
Materials	1199077200000	4.181798518
Materials	1201755600000	4.379764387
Materials	1204261200000	4.69666422
Materials	1206936000000	4.360999513
Materials	1209528000000	4.4736291
Materials	1212206400000	4.374976274
Materials	1214798400000	3.327466119
Materials	1217476800000	3.031618469
Materials	1220155200000	2.57181402
Materials	1222747200000	2.703499404
Materials	1225425600000	2.203378659
Materials	1228021200000	1.985062124
Materials	1230699600000	0
Materials	1233378000000	0
Materials	1235797200000	0
Materials	1238472000000	0
Materials	1241064000000	0
Materials	1243742400000	0
Materials	1246334400000	0
Materials	1249012800000	0
